         414664 function calls (404841 primitive calls) in 0.342 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.103    0.103    0.103    0.103 {method 'acquire' of '_multiprocessing.SemLock' objects}
      445    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
       32    0.016    0.001    0.017    0.001 {built-in method posix.fork}
       91    0.014    0.000    0.014    0.000 {built-in method _imp.create_dynamic}
     3728    0.008    0.000    0.008    0.000 {built-in method posix.stat}
      331    0.007    0.000    0.007    0.000 {built-in method builtins.compile}
  881/871    0.006    0.000    0.020    0.000 {built-in method builtins.__build_class__}
  535/112    0.005    0.000    0.014    0.000 sre_parse.py:469(_parse)
     2220    0.005    0.000    0.010    0.000 version.py:261(__init__)
        1    0.005    0.005    0.005    0.005 {built-in method mkl._py_mkl_service.get_version}
     1015    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    91/82    0.003    0.000    0.010    0.000 {built-in method _imp.exec_dynamic}
    847/1    0.003    0.000    0.343    0.343 {built-in method builtins.exec}
      337    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
      445    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      445    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
  912/107    0.002    0.000    0.006    0.000 sre_compile.py:71(_compile)
    13553    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
13053/12877    0.002    0.000    0.006    0.000 {built-in method builtins.getattr}
      565    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     5722    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    31743    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     5722    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      378    0.002    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
      548    0.002    0.000    0.002    0.000 {built-in method posix.waitpid}
      445    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     2227    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     2317    0.002    0.000    0.002    0.000 posixpath.py:75(join)
    12099    0.002    0.000    0.003    0.000 sre_parse.py:254(get)
     1392    0.002    0.000    0.002    0.000 version.py:444(_cmpkey)
     6648    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      890    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     2756    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x561ea86869a0}
    575/8    0.001    0.000    0.214    0.027 <frozen importlib._bootstrap>:978(_find_and_load)
8086/8082    0.001    0.000    0.004    0.000 {method 'join' of 'str' objects}
     1022    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      850    0.001    0.000    0.002    0.000 functools.py:37(update_wrapper)
        4    0.001    0.000    0.002    0.000 codata.py:1498(parse_constants_2002to2014)
      548    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        2    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
     6229    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
    548/9    0.001    0.000    0.213    0.024 <frozen importlib._bootstrap>:663(_load_unlocked)
 1073/278    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
    15563    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    14468    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
    575/8    0.001    0.000    0.213    0.027 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
16338/15298    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      560    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1022    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     5662    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1022    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
       32    0.001    0.000    0.001    0.000 process.py:72(__init__)
       30    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
       32    0.001    0.000    0.018    0.001 popen_fork.py:67(_launch)
     6124    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
    15278    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
 1860/840    0.001    0.000    0.078    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
